uniq_ID,Latitude,Longitude,Name,Max_D_km,Min_D_km
cor_370,74.3,-145.5,Schumann-Heink,153,0
cor_371,65.6,-154.6,Muzamuza,236,0
cor_372,58.7,3.6,no_name#372,304,0
cor_373,51.1,14.5,no_name#373,227,0
cor_374,48.6,163.0,no_name#374,123,0
cor_375,44.3,17.3,Parma,164,0
cor_376,44.2,21.5,no_name#376,182,0
cor_377,41.3,21.0,Simoting,182,0
cor_378,40.6,7.6,Kostroma,109,0
cor_379,40.5,103.0,Maa-Ema,282,0
cor_380,40.4,-147.7,no_name#380,136,0
cor_381,39.5,13.7,Nana-Buluku,324,0
cor_382,38.7,-142.0,no_name#382,173,0
cor_383,37.4,-1.7,no_name#383,127,0
cor_384,36.54,35.2,no_name#384,145,0
cor_385,37.0,10.5,no_name#385,327,0
cor_386,36.8,39.3,Kottauer Patera,109,0
cor_387,34.3,11.7,Ponmakya,200,0
cor_388,31.7,26.0,no_name#388,218,0
cor_389,30.3,-150.3,no_name#389,109,0
cor_390,29.9,-167.7,no_name#390,173,0
cor_391,29.7,164.8,no_name#391,382,0
cor_392,29.4,-164.5,no_name#392,282,0
cor_393,29.2,169.4,no_name#393,364,0
cor_394,29.0,-154.5,Embla,145,0
cor_395,28.0,141.5,no_name#395,291,0
cor_396,26.6,167.2,no_name#396,373,0
cor_397,25.8,-45.3,no_name#397,255,0
cor_398,17.5,21.0,no_name#398,291,0
cor_399,16.3,163.6,no_name#399,127,0
cor_400,16.5,49.0,Ninmah,509,0
cor_401,15.4,98.0,no_name#401,173,0
cor_402,14.8,12.9,no_name#402,109,0
cor_403,12.8,-72.3,Zhivana,209,0
cor_404,12.7,-4.4,Silvia,218,0
cor_405,12.7,1.3,no_name#405,109,0
cor_406,12.6,11.2,no_name#406,127,0
cor_407,12.5,-105.4,no_name#407,245,0
cor_408,12.2,-48.024,no_name#408,109,0
cor_409,11.7,2.1,no_name#409,100,0
cor_410,11.6,3.3,no_name#410,109,0
cor_411,11.2,-67.1,no_name#411,127,0
cor_412,10.5,-60.3,no_name#412,273,0
cor_413,9.7,-14.3,no_name#413,509,0
cor_414,8.3,7.0,no_name#414,491,0
cor_415,6.7,-99.1,no_name#415,191,0
cor_416,5.5,51.0,no_name#416,182,0
cor_417,5.4,-138.4,no_name#417,73,0
cor_418,3.9,-117.5,no_name#418,127,0
cor_419,2.6,168.1,Bil,309,0
cor_420,1.2,-145.6,no_name#420,136,0
cor_421,0.3,170.2,Hannahannas,200,0
cor_422,-1.0,170.8,no_name#422,164,0
cor_423,-2.2,-111.7,no_name#423,209,0
cor_424,-2.5,5.6,no_name#424,418,0
cor_425,-3.5,-105.4,no_name#425,189,0
cor_426,-4.5,-98.5,Krumine,173,0
cor_427,-5.7,-49.3,no_name#427,136,0
cor_428,-8.0,21.0,no_name#428,345,0
cor_429,-11.0,-20.5,Samdzimari,264,0
cor_430,-11.4,144.5,no_name#430,273,0
cor_431,-12.5,153.5,no_name#431,209,0
cor_432,-24.0,-82.0,no_name#432,527,0
cor_433,-31.0,-79.0,no_name#433,123,0
cor_434,-31.3,-100.3,Achall,300,0
cor_435,-35.621,13.731,no_name#435,364,0
cor_436,-40.6,-71.8,Ikas,155,0
cor_437,-45.0,-72.489,Nzambi,181,0
cor_438,-47.3,-155.5,Nang Pao,204,0
cor_439,-47.7,-152.5,Ixcuina,136,0
cor_440,-49.3,-96.5,no_name#440,700,0
cor_441,-51.5,-90.0,no_name#441,245,0
cor_442,-53.4,-69.0,Obasi-Nsi,209,0
cor_443,-55.2,-85.0,no_name#443,291,0
cor_444,15.6,-66.9,no_name#444,202,123
cor_445,28.496,-46.826,no_name#445,1080,0
