uniq_ID,Latitude,Longitude,Name,Max_D_km
vlcInt_000,44.3,-126.88,Cotis Tholus,50.21
vlcInt_001,-31.51,-109.87,Destinnova Patera,67.76
vlcInt_002,45.2,-30.76,Eostre Mons,54.75
vlcInt_003,-57.6,16.11,Ndara Tholus,52.395
vlcInt_004,-68.55,-160.08,Neegyauks Tholus,46.027
vlcInt_005,-51.05,-137.34,Raskova Patera,45.25
vlcInt_006,-42.21,-62.75,Siduri Mons,97.135
vlcInt_007,-12.75,-128.02,Toma Mons,63.675
vlcInt_008,26.39,-152.26,Waka Mons,61.42
vlcInt_009,-9.54,-159.08,no_name#9,43.024
vlcInt_010,60.67,82.07,no_name#10,42.99
vlcInt_011,39.01,-147.31,no_name#11,42.897
vlcInt_012,-47.29,-131.96,no_name#12,41.07
vlcInt_013,-22.94,150.85,no_name#13,40.818
vlcInt_014,-37.23,-97.04,no_name#14,39.75
vlcInt_015,-9.26,-160.69,no_name#15,39.4
vlcInt_016,7.12,-92.76,no_name#16,39.3
vlcInt_017,-44.05,36.18,no_name#17,37.71
vlcInt_018,-14.27,-73.91,no_name#18,36.31
vlcInt_019,-57.02,164.32,no_name#19,61.735
vlcInt_020,-9.54,-64.65,no_name#20,35.716
vlcInt_021,-28.9,-138.6,no_name#21,35.18
vlcInt_022,31.48,-166.2,no_name#22,33.766
vlcInt_023,1.5,-50.56,no_name#23,33.76
vlcInt_024,-0.56,-96.61,no_name#24,33.661
vlcInt_025,10.56,-90.65,no_name#25,33.191
vlcInt_026,-8.2,-160.94,no_name#26,32.84
vlcInt_027,11.5,-125.58,no_name#27,32.66
vlcInt_028,47.02,-138.61,no_name#28,31.931
vlcInt_029,12.49,161.12,no_name#29,31.53
vlcInt_030,10.66,-89.66,no_name#30,61.98
vlcInt_031,10.11,-90.66,no_name#31,31.088
vlcInt_032,78.41,-127.57,no_name#32,31.03
vlcInt_033,10.03,-89.27,no_name#33,30.383
vlcInt_034,35.94,-30.06,no_name#34,30.26
vlcInt_035,36.25,-30.23,no_name#35,28.81
vlcInt_036,-37.95,12.85,no_name#36,29.62
vlcInt_037,-68.86,90.1,no_name#37,29.653
vlcInt_038,38.6,123.59,no_name#38,28.576
vlcInt_039,-18.14,159.03,no_name#39,28.514
vlcInt_040,16.61,41.39,no_name#40,28.273
vlcInt_041,12.82,-158.67,no_name#41,65.625
vlcInt_042,10.05,-89.06,no_name#42,27.647
vlcInt_043,23.33,-104.78,no_name#43,26.92
vlcInt_044,74.31,-139.17,no_name#44,26.89
vlcInt_045,-40.78,-133.23,no_name#45,26.86
vlcInt_046,5.98,-86.19,no_name#46,26.536
vlcInt_047,-29.72,-146.48,no_name#47,26.482
vlcInt_048,20.41,-9.93,no_name#48,26.46
